ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
301,24122000,EMPLEO,FOMENTO DE EMPLEO,MATERIAL DE OFICINA,600.0,1
302,24122103,EMPLEO,FOMENTO DE EMPLEO,COMBUSTIBLES,500.0,2
303,24122300,EMPLEO,FOMENTO DE EMPLEO,TRANSPORTES Y MENSAJERÍA,150.0,3
304,24122502,EMPLEO,FOMENTO DE EMPLEO,TRIBUTOS VEHÍCULOS,1000.0,4
305,24122603,EMPLEO,FOMENTO DE EMPLEO,PUBLICACIONES EN DIARIOS OFICIALES,300.0,5
306,24122611,EMPLEO,FOMENTO DE EMPLEO,CURSOS FORMACIÓN OCUPACIONAL ,10000.0,6
307,24122612,EMPLEO,FOMENTO DE EMPLEO,PUBLICIDAD Y PROPAGANDA FDCAN LINEA 3 2018,49000.0,7
308,24122617,EMPLEO,FOMENTO DE EMPLEO,GASTOS CORRIENTES PROGRAMA SCE GARANTÍA JUVENIL,65000.0,8
309,24122618,EMPLEO,FOMENTO DE EMPLEO,LA ESCUELA EMPRENDE,2000.0,9
310,24122619,EMPLEO,FOMENTO DE EMPLEO,HUERTOS ESCOLARES Y URBANOS,15000.0,10
311,24122620,EMPLEO,FOMENTO DE EMPLEO,ACTUACIONES INTEGRALES (LA PALMA LOCAL) - FEDER,1000.0,11
312,24122621,EMPLEO,FOMENTO DE EMPLEO,LA PALMA EMPRENDE - FDCAN 2017,40000.0,12
313,24122622,EMPLEO,FOMENTO DE EMPLEO,LA PALMA EMPRENDE - FDCAN 2018,20000.0,13
314,24122623,EMPLEO,FOMENTO DE EMPLEO,PROYECTO FIMAC (INTERREG MAC 2014-2020),39000.0,14
315,24122624,EMPLEO,FOMENTO DE EMPLEO,GASTOS CORRIENTES PLAN EMPLEO SOCIAL - CONTROL PENIS. SET. (1ª FASE - FDCAN 2017),554.309999999999,15
316,24122625,EMPLEO,FOMENTO DE EMPLEO,GASTOS CORRIENTES PLAN EMPLEO SOCIAL - CONTROL PENIS. SET. (2ª FASE - FDCAN 2018),30000.0,16
317,24122699,EMPLEO,FOMENTO DE EMPLEO,OTROS GASTOS DIVERSOS,10000.0,17
318,24122710,EMPLEO,FOMENTO DE EMPLEO,EQUIPO APOYO FDCAN LINEA 3 2018,20000.0,18
319,24135200,EMPLEO,FOMENTO DE EMPLEO,INTERESES DE DEMORA EMPLEO,3000.0,19
320,24146202,EMPLEO,FOMENTO DE EMPLEO,PLAN  EMPLEO SOCIAL AYTOS. FDCAN ANUALIDAD 2018. LÍNEA 3,2050079.87,20
321,24147000,EMPLEO,FOMENTO DE EMPLEO,SUBV. FOMENTO A LA CONTRATACIÓN LABORAL CONVOCATORIA PLURIANUAL 2018. FDCAN 2018,220000.0,21
322,24147001,EMPLEO,FOMENTO DE EMPLEO,SUBV. FOMENTO A LA CONTRATACIÓN LABORAL CONVOCATORIA 2017. FDCAN 2017,22370.0,22
323,24147002,EMPLEO,FOMENTO DE EMPLEO,SUBV. A EMPRESAS PROYECTOS EMPLEO FOMENTEN LA CONTRATACIÓN DE TITULADOS (FDCAN 2017),345000.0,23
324,24147003,EMPLEO,FOMENTO DE EMPLEO,SUBV. A EMPRESAS PROYECTOS EMPLEO FOMENTEN LA CONTRATACIÓN DE TITULADOS (FDCAN 2018),55000.0,24
325,24147005,EMPLEO,FOMENTO DE EMPLEO,"SUBV. GRANTECAN, S.A. CONTRATOS TITULADOS UNIVERSITARIOS (FDCAN 2018)",160000.0,25
326,24147006,EMPLEO,FOMENTO DE EMPLEO,SUBV. A EMPRESAS PROGRAMAS DE MEJORA DEL CAPITAL HUMANO Y FOMENTO DE LA FORMACIÓN (FDCAN 2017),40000.0,26
327,24147007,EMPLEO,FOMENTO DE EMPLEO,SUBV. A EMPRESAS PROGAMAS DE MEJORA DEL CAPITAL HUMANO Y FOMENTO DE LA FORMACIÓN (FDCAN 2018),40000.0,27
328,24148900,EMPLEO,FOMENTO DE EMPLEO,SUBV. A ENTIDADES SIN ÁNIMO DE LUCRO PARA PROYECTOS GENERADORES DE EMPLEO (FDCAN 2018),150000.0,28
